,GBC_PC1_ztstat,GBC_PC2_ztstat,GBC_PC3_ztstat,GBC_PC4_ztstat,GBC_PC5_ztstat
AC009365.1,0.205728028,0.018118738,-0.068826781,0.097195847,-0.058128435
AC009509.1,0.339702981,-0.345209418,0.130446418,-0.332441897,-0.419618717
AC009532.1,0.216164206,-0.06592047,0.202876324,-0.254279496,-0.041092735
AC010087.3,0.365390871,-0.070618717,0.107419737,0.007548167,-0.049690959
AC010203.2,-0.009814583,0.004419367,0.050538561,0.011284251,0.079784739
AC010325.3,0.065747048,-0.038912772,0.043865223,-0.020513469,0.033740147
AC010332.1,-0.071963205,0.060804149,-0.003182734,0.060002565,0.08025105
AC010336.2,0.034339715,0.077947339,0.062548323,-0.01200273,0.013198516
AC010422.1,0.27152304,0.041767137,0.005925661,0.128300226,0.274123687
AC010442.2,0.193221363,-0.118444586,0.011802853,0.049156756,-0.092971172
AC010606.4,0.114490105,-0.119681973,0.111540562,-0.041082775,0.028401814
AC010624.2,0.238645359,-0.094222581,0.046284646,-0.036485927,-0.040836824
AC010645.1,-0.101202627,0.067105624,-0.203802446,0.189476604,0.016702853
AC010896.1,0.193738823,-0.007784025,-0.014877579,0.139449194,0.069876587
AC010974.2,-0.141462032,0.186860491,-0.114453497,0.066141299,0.094513232
AC010980.2,0.389087756,-0.146479613,0.101432788,0.000768103,-0.057752901
AC010982.1,-0.251089775,0.136134425,-0.243012433,0.042659435,-0.242891662
AC011427.1,0.415299549,-0.160237972,0.145567952,-0.09541572,-0.059726037
AC011443.1,-0.119809614,-0.009485658,-0.135692395,0.022993976,-0.067961243
AC011472.2,0.000371488,-0.000600456,0.26184542,-0.178679096,0.037184883
AC011479.2,0.389610849,-0.092161223,0.087647765,0.10810837,0.130244142
AC011498.2,0.33764957,-0.134726348,0.021569533,0.005464815,-0.09724388
AC011498.3,0.156933018,0.007109962,0.025957607,0.083615024,0.061961083
AC011500.2,0.081393462,-0.084640873,0.111076462,0.100550408,0.316556373
AC011511.1,-0.305568455,0.024356197,0.011428167,0.058071967,-0.089654425
AC011530.1,0.097641389,-0.068916554,0.103283978,-0.125099557,-0.047653159
AC012100.1,-0.001307978,0.174291244,-0.132599452,0.305000628,0.27152372
AC012435.1,-0.159983652,-0.139714459,-0.035616264,-0.014024619,-0.309945896
AC012621.2,-0.034931086,0.131435165,-0.070675605,-0.02617651,-0.041366588
AC012652.1,0.305811423,0.05563,0.001976962,0.135190446,0.137420031
AC013271.3,-0.038632182,0.022667521,-0.136240788,0.079229808,-0.208456478
AC013283.1,0.204828982,-0.018621699,-0.108051413,0.109123595,-0.112450782
AC013356.1,0.288482744,-0.142636008,0.137432029,-0.041071818,0.018262088
AC013356.3,-0.086362603,0.194440267,-0.167994985,0.156588005,-0.004281715
AC013400.2,0.445316118,-0.433408027,0.280642885,-0.242998954,-0.121119453
AC013402.2,-0.35984189,0.192001361,-0.027685625,0.044243589,0.173653291
AC013553.1,0.156516488,0.129257891,-0.075701883,0.198425572,0.325556326
AC013553.2,0.135596656,-0.072204328,0.08536168,-0.060266057,-0.010442097
AC015871.2,0.464977287,-0.125362018,0.178757307,-0.058605629,0.074271095
AC015936.3,0.467430787,-0.109751919,0.13095598,-0.057590563,0.00367829
AC016525.1,0.101964889,0.120891997,0.05344325,0.050259613,0.138562333
AC016629.3,0.175538541,-0.058737499,0.090040226,-0.020121714,0.119977243
AC016683.6,-0.261186126,0.036848299,-0.097489295,-0.111435739,-0.433604077
AC016747.3,0.311341822,0.034041574,0.018965436,-0.085085289,-0.000355664
AC016757.1,-0.116351104,0.21834328,-0.012404042,-0.076250495,0.036575675
AC017096.1,-0.028996322,0.161052479,0.135504897,0.178430029,0.388160307
AC017099.3,-0.097129885,0.170072445,0.025732933,0.007337572,0.105099685
AC018682.6,0.381218307,-0.455432305,0.336110906,-0.338747596,-0.142625139
AC018755.8,0.132789983,-0.161777722,0.246446639,-0.207162517,-0.022522637
AC018865.8,0.066542968,0.065937751,0.01921287,0.047033548,0.104103108
AC019171.4,-0.044451658,0.050625651,-0.116681121,0.061029555,-0.087115901
AC020663.1,0.130822359,-0.049797413,0.041779513,-0.186171078,-0.117093726
AC021054.1,0.278531604,-0.127741103,0.120585461,-0.061542242,0.049704473
AC021148.2,-0.113589011,0.096331642,-0.177129327,0.053662012,-0.160889469
AC021534.2,-0.123932628,0.081265631,0.086259478,-0.05080534,0.097008622
AC021850.1,0.219312493,-0.097412022,0.052477563,-0.008499497,-0.122467804
AC021860.1,-0.061367511,-0.032119982,0.192057887,-0.160449848,-0.010162763
AC022075.1,0.151475019,-0.298220752,0.273715696,-0.220862834,-0.009054916
AC022098.1,0.073465654,-0.079460749,0.05683847,-0.056710607,0.036477784
AC022098.3,0.230448084,-0.072008056,0.134172057,0.06178209,0.015667556
AC022100.1,-0.122707666,0.290811973,-0.127065571,0.071228625,0.121447406
AC022311.1,-0.369595236,0.084217524,-0.068818575,-0.01972865,-0.054571536
AC022498.2,0.022760217,0.050720446,-0.036460553,-0.090100954,-0.077043275
AC022596.6,-0.077048256,-0.015694102,-0.189512331,-0.109890588,-0.326244444
AC022748.1,-0.032179015,-0.036365649,-0.004772956,0.000861239,-0.109801268
AC023024.1,-0.028124303,0.061810055,-0.071177359,0.080884035,-0.010871678
AC023055.2,0.088964653,0.076660093,-0.088047305,-0.037788685,0.016373996
AC023510.2,0.311639264,0.035250617,-0.022870798,0.158203951,0.269726788
AC023830.2,0.401172432,-0.442706139,0.286022624,-0.319008405,-0.104769003
AC024270.1,0.046151206,-0.104949089,0.04635632,-0.130840117,-0.20419373
AC024560.3,-0.416030156,0.18330653,-0.067659707,0.015985123,0.115519204
AC024575.2,0.335167414,-0.093324487,-0.038060756,0.04172003,-0.088403609
AC024575.3,0.185257698,0.129239725,-0.021346014,0.074465561,0.205221702
AC024940.3,-0.224390018,-0.096249212,-0.031267448,0.043405128,-0.071785394
AC025627.16,0.195919156,0.004517149,-0.0631786,-0.012579532,-0.031920459
AC025647.1,0.19261585,0.048100794,-0.08099887,0.243146761,0.232705809
AC026369.2,0.288532381,-0.057321879,-0.088052476,0.064384768,-0.057289083
AC027323.1,0.075731866,0.017954792,0.002657106,0.105649853,0.124407897
AC034193.5,-0.177666361,0.0498188,-0.068363032,-0.016564722,-0.124001373
AC034199.2,-0.02375673,0.038791781,0.071409307,0.041373169,0.221228256
AC034236.3,-0.310841075,0.242402038,-0.091070093,-0.102923835,-0.120590222
AC044839.2,0.41623271,-0.12223585,0.015273201,0.032892434,-0.059460728
AC055839.1,0.297156036,-0.106830611,0.135225115,-0.034536586,-0.005384158
AC058791.2,-0.205253631,0.002970194,-0.093342007,0.058637173,-0.141587998
AC062028.1,-0.019838023,-0.143419878,0.12342427,-0.136078106,-0.013625026
AC063965.2,0.300107342,-0.199987409,0.25555992,-0.065079387,0.057378573
AC063977.1,0.10261855,-0.093133242,0.067009635,0.010560808,0.037294003
AC066593.1,-0.438260648,0.392763933,-0.205648275,0.220484412,0.226666309
AC068020.3,0.428579427,-0.094738971,0.123473952,0.020574494,0.088171631
AC068057.2,-0.089053545,0.050842549,0.030835341,-0.023721611,0.040017868
AC068181.1,0.201777573,-0.135518277,0.218011388,-0.093600407,0.226607059
